NPI,NPPES_PROVIDER_LAST_ORG_NAME,NPPES_PROVIDER_FIRST_NAME,NPPES_PROVIDER_CITY,NPPES_PROVIDER_STATE,SPECIALTY_DESCRIPTION,DESCRIPTION_FLAG,DRUG_NAME,GENERIC_NAME,BENE_COUNT,TOTAL_CLAIM_COUNT,TOTAL_DAY_SUPPLY,TOTAL_DRUG_COST,BENE_COUNT_GE65,BENE_COUNT_GE65_SUPPRESS_FLAG,TOTAL_CLAIM_COUNT_GE65,GE65_SUPPRESS_FLAG,TOTAL_DAY_SUPPLY_GE65,TOTAL_DRUG_COST_GE65,YEAR,OPIOID_FLAG
1417912783,BAUGHMAN,ROBERT,CINCINNATI,OH,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,18,95,2061,3899342.51,,*,,*,,,2014,
1417964651,AGUS,BERTRAND,NEW YORK,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,16,382,555651.96,,#,,#,,,2014,
1053359356,AHN,JEANIE,FREMONT,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,388471.16,,#,,#,,,2014,
1477584399,ALAPPATT,CHACKO,MIDDLETOWN,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,16,368,745858.53,,#,,#,,,2014,
1942252697,BELLO,ALFONSO,GLENVIEW,IL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,15,363,675923.55,,*,,*,,,2014,
1811984487,AWERBUCH MD PLLC,GAVIN,SAGINAW,MI,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,13,65,427005.56,0,,0,,0,0,2014,
1881700334,BOTSON,JOHN,ANCHORAGE,AK,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,41,676,1344798.52,,*,,*,,,2014,
1356316566,BUTLER,ELIZABETH,ATLANTA,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,47,932,1775309.85,,*,,*,,,2014,
1164497236,BUMSTEAD,BARBARA,BAY SHORE,NY,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,,16,80,510505.78,,#,,#,,,2014,
1346444742,CAPPS,RAYMOND,TULLAHOMA,TN,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,14,70,443506.59,,*,,*,,,2014,
1043210214,CHANDRASEKHAR,KAUSALYA,KOKOMO,IN,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,11,187,356192.28,,*,,*,,,2014,
1295709061,CHAUDHRY,ANU,RAHWAY,NJ,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,392332.64,,*,12,,204,392332.64,2014,
1801094032,CHAN,JACQUELINE,TRACY,CA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,50,1103,1620796.04,,*,,*,,,2014,
1720029317,CHINEA,ANGEL,GUAYNABO,PR,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,12,60,394419.3,0,,0,,0,0,2014,
1548247679,CHESNER,DAVID,WILLOW GROVE,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,12,847,610392.09,,*,,*,,,2014,
1801864020,DHINDSA,HARPREET,FRESNO,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,13,243,426203.52,0,,0,,0,0,2014,
1609962026,DIKRANIAN,ARA,SAN DIEGO,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,31,621,1134758.86,,#,,#,,,2014,
1982667754,DIEHL,MARK,GETTYSBURG,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,24,665,1370455.33,0,,0,,0,0,2014,
1912988668,DEL ROSARIO CABRAL,LUIS,MELBOURNE,FL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,21,457,871175.68,,#,,#,,,2014,
1033221148,DOMINGUEZ,DANIEL,OROVILLE,CA,Physician Assistant,S,H.P. ACTHAR,CORTICOTROPIN,,22,147,884477.76,0,,0,,0,0,2014,
1871609388,EVANS,WALTER,FLORENCE,SC,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,13,197,418037.91,0,,0,,0,0,2014,
1467400218,FILIPI,MARY,WAHOO,NE,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,,11,78,359372.72,,*,,*,,,2014,
1912999244,FARBER,MARTIN,SCHENECTADY,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,12,226,384982.06,,*,12,,226,384982.06,2014,
1164460887,FIECHTNER,JUSTUS,LANSING,MI,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,28,980,1375077.22,0,,0,,0,0,2014,
1679568885,GOLDSTEIN,MARK,STATEN ISLAND,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,14,284,550148.47,0,,0,,0,0,2014,
1700888559,GRESH,JOHN,OCALA,FL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,17,346,679625.77,,#,,#,,,2014,
1801077482,HAMMER,LUIS,CORONA,NY,Physician Assistant,S,H.P. ACTHAR,CORTICOTROPIN,19,46,1211,1901938.93,,*,23,,487,867677.87,2014,
1598739104,HASSAN,FAROOQ,HERMITAGE,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,18,306,597586.91,0,,0,,0,0,2014,
1023200565,HEGDE,NIKITA,STOW,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,19,598,811132.81,,#,,#,,,2014,
1780663807,HICKS,WATERS,THOMASVILLE,GA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,15,310,480007.39,,*,,*,,,2014,
1205833662,HO,GERALD,LA PALMA,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,11,273,459209.57,0,,0,,0,0,2014,
1508857665,HOWARD,ANNETTE,HOUSTON,TX,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,11,26,350,1984549.66,,*,,*,,,2014,
1174507800,JONES,RICHARD,TUSCALOOSA,AL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,28,609,1026294.97,,*,,*,,,2014,
1366411514,KIM,LANCE,OCALA,FL,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,24,41,205,1343269.59,,*,,*,,,2014,
1831152701,KINKEL,PETER,WILLIAMSVILLE,NY,Diagnostic Radiology,S,H.P. ACTHAR,CORTICOTROPIN,,12,60,392415.07,,*,,*,,,2014,
1013087634,KHURANA,RITU,CHESTER,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,13,317,588715.2,0,,0,,0,0,2014,
1346265188,LANIER,BOB,CUMMING,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,13,342,648453.47,,*,,*,,,2014,
1336128859,LEVINE,TODD,PHOENIX,AZ,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,21,454,689930.39,,#,,#,,,2014,
1619935624,LAWRENCE-FORD,THERESA,LAWRENCEVILLE,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,18,412,778106.05,,*,,*,,,2014,
1558396044,MAHER,LEO,HONOLULU,HI,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,15,150,1000240.72,,*,,*,,,2014,
1235104209,MADAN,ARVIND,ORLANDO,FL,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,12,252,388771.67,,*,,*,,,2014,
1740298967,MILLETTE,TERRENCE,PASCAGOULA,MS,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,12,120,395712.36,0,,0,,0,0,2014,
1346400207,MISHRA,RICHA,HADDON TOWNSHIP,NJ,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,20,478,835386.94,,*,,*,,,2014,
1699740613,PATEL,DHRUV,ELYRIA,OH,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,12,15,75,488224.8,,*,,*,,,2014,
1609876184,MILLER,LORN,JASPER,AL,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,11,225,428546.34,0,,0,,0,0,2014,
1316966179,OH,SANGJIN,GLEN BURNIE,MD,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,17,100,686459.21,0,,0,,0,0,2014,
1417148834,PARRIS,GLENN,LAWRENCEVILLE,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,38,1042,1485699,,*,,*,,,2014,
1679539837,RAM,PANKAJ,FRESNO,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,385584.12,,*,12,,204,385584.12,2014,
1760488449,REARDON,EDWARD,WARWICK,RI,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,19,323,615805.93,0,,0,,0,0,2014,
1124115068,RISER,EMILY,BIRMINGHAM,AL,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,11,14,70,451340.27,,*,,*,,,2014,
1467547232,SAHNI,HARSHA,COLONIA,NJ,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,12,215,388274.23,,*,12,,215,388274.23,2014,
1558346262,STARK,KENNETH,TAVARES,FL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,25,461,874185.17,,*,,*,,,2014,
1902900301,STODDARD,CHARLES,CONCORD,NC,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,,19,323,632163.88,,*,19,,323,632163.88,2014,
1598767394,VANDELLEN,SUSAN,PORT HURON,MI,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,17,377,565655.92,0,,0,,0,0,2014,
1194818997,SCOVILLE,CRAIG,IDAHO FALLS,ID,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,36,893,1662094.97,,*,,*,,,2014,
1629348214,WILSON,AUBREY,LILLINGTON,NC,Physician Assistant,S,H.P. ACTHAR,CORTICOTROPIN,,21,588,687527.79,0,,0,,0,0,2014,
1417998626,TRAN,TRINH,CORAL SPRINGS,FL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,11,241,450265.11,,*,,*,,,2014,
1073588844,SHORT,BRIAN,RICHMOND,IN,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,,23,523,900995.8,,#,,#,,,2014,
1649244716,SCHECHTMAN,JOY,PEORIA,AZ,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,14,325,615787.34,,*,,*,,,2014,
1033204383,WHITE,JOLYNN,LEXINGTON,MS,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,,11,187,353307.6,0,,0,,0,0,2014,
1548262249,SCHUMACHER,THOMAS,ALBANY,NY,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,18,306,582169.41,,*,,*,,,2014,
1346292901,TABBY,DAVID,BALA CYNWYD,PA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,17,314,820737.08,0,,0,,0,0,2014,
1437199379,WELIK,ROBERT,CUMBERLAND,MD,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,394091.9,,*,12,,204,394091.9,2014,
1790755288,SHETH,ANIL,HOUSTON,TX,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,11,187,349345,,*,11,,187,349345,2014,
1255340691,WITTENBORN,JEREMY,INDIANAPOLIS,IN,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,11,220,361627.44,,*,11,,220,361627.44,2014,
1447269451,WOELTZ,VAN,PADUCAH,KY,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,11,14,75,487508.62,,*,,*,,,2014,
1023138518,WOLINSKY-FRIEDLAND,MARCIE,RIDGEFIELD,CT,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,13,368,498059.39,,*,13,,368,498059.39,2014,
1639195597,TROCHE,RODOLFO,SAN JUAN,PR,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,12,395,829470.86,0,*,12, ,395,829470.86,2015,
1699755009,AHMED,SAGHIR,MACON,GA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,187,392261.1,0, ,0, ,0,0,2015,
1730294125,ATHNI,SUDHIR,MACON,GA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,103,537169.88,0,#,0,#,0,0,2015,
1568492346,TWINING,JON,MYRTLE BEACH,SC,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,22,536,1060347.43,0,*,11, ,187,372010,2015,
1801865779,BACON,ANNE,WINCHESTER,VA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,227,473515.27,0, ,0, ,0,0,2015,
1881653608,BADDOO,ANDREW,WEST ORANGE,NJ,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,44,1262,1553952.56,0,*,23, ,600,804324.82,2015,
1043242985,BARNEY,JOSEPH,BIRMINGHAM,AL,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,28,558,1071699.81,0,*,11, ,209,371107.24,2015,
1265435564,BAZEMORE,JAMES,SAVANNAH,GA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,13,279,587626.29,0, ,0, ,0,0,2015,
1013002328,BHATIA,PERMINDER,FRESNO,CA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,21,105,703813.31,0, ,0, ,0,0,2015,
1972671402,BOWLES,ALVIN,DETROIT,MI,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,13,315,798485.26,0,*,0,*,0,0,2015,
1881700334,BOTSON,JOHN,ANCHORAGE,AK,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,39,753,1505787.04,0,*,15, ,255,522996.6,2015,
1053598896,BRENNER,TRACY,INDIANAPOLIS,IN,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,14,273,539937.18,0,*,0,*,0,0,2015,
1760590624,BROWN,ALAN,NORTH CHARLESTON,SC,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,634,719093.18,0,#,0,#,0,0,2015,
1093828741,BRUNNER,MATTHEW,MORGANTOWN,WV,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,0,19,380,663177.34,0, ,0, ,0,0,2015,
1356316566,BUTLER,ELIZABETH,ATLANTA,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,36,773,1424728.43,0, ,0, ,0,0,2015,
1548256670,CANFIELD,CHRISTINA,WAKEMAN,OH,Family Practice,S,H.P. ACTHAR,CORTICOTROPIN,0,11,308,375945.76,0,*,11, ,308,375945.76,2015,
1093719023,CHANALES,ALAN,ROCKVILLE,MD,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,19,489,1000985.23,0,*,0,*,0,0,2015,
1295709061,CHAUDHRY,ANU,RAHWAY,NJ,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,0,21,357,722623.25,0,*,21, ,357,722623.25,2015,
1518976729,DEOCHAND,MOHAN,SANFORD,NC,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,114,365927.6,0, ,0, ,0,0,2015,
1043248727,EHRESMANN,GLENN,LOS ANGELES,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,13,221,442592.95,0, ,0, ,0,0,2015,
1669693081,EVANGELISTA,EDGAR JAY,LAS VEGAS,NV,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,14,110,737419.92,0,*,0,*,0,0,2015,
1992729313,FERRARI,ALBERT,STOCKTON,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,13,256,429647,0,*,0,*,0,0,2015,
1144323023,FORSTOT,JOSEPH,BOCA RATON,FL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,21,730,982744.02,0,#,0,#,0,0,2015,
1609891613,FREEDMAN,STEVEN,RALEIGH,NC,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,103,543375.65,0,*,0,*,0,0,2015,
1508827502,VIENNAS,STELIOS,ASTORIA,NY,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,15,63,1816,3529367.41,0,#,0,#,0,0,2015,
1053520759,GERKE,ALICIA,IOWA CITY,IA,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,15,333,976152.95,0, ,0, ,0,0,2015,
1013928886,GERMIN,LEO,HENDERSON,NV,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,13,65,443557.57,0,*,0,*,0,0,2015,
1922025014,GUTIERREZ-ALSINA,RODOLFO,MIAMI,FL,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,14,238,477732.59,0, ,0, ,0,0,2015,
1902885494,HALL,REGINALD,ATLANTA,GA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,18,95,649429.16,0, ,0, ,0,0,2015,
1538169305,HENDON,KENDRA,KNOXVILLE,TN,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,14,238,482157.12,0, ,0, ,0,0,2015,
1659322055,HOSSAIN,S M HAMID,NEWBURGH,NY,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,22,392,798267.26,0, ,0, ,0,0,2015,
1275614455,HUH,BRIAN,LOS ANGELES,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,18,442,1080531.32,0,*,18, ,442,1080531.32,2015,
1932348729,WALKER,CHAD,SCRANTON,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,15,418,915211.08,0,#,0,#,0,0,2015,
1497747075,KATARIA,YASH,GREENVILLE,NC,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,16,344,675528.47,0, ,0, ,0,0,2015,
1508818212,KATZ,VICTORIA,BROOKLYN,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,39,663,1330684.56,0,*,0,*,0,0,2015,
1750501623,KAZMI,ASIF,MARION,AR,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,13,221,452438.7,0, ,0, ,0,0,2015,
1366411514,KIM,LANCE,OCALA,FL,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,11,17,120,629907.22,0,*,0,*,0,0,2015,
1235326232,KOUYOUMDJIAN,ZEPURE,MORGAN HILL,CA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,80,537108.65,0,*,0,*,0,0,2015,
1598712960,KOCH,THERESE,VOORHEES,NJ,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,0,15,255,526008.86,0, ,0, ,0,0,2015,
1255340691,WITTENBORN,JEREMY,INDIANAPOLIS,IN,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,308,385119.62,0,*,11, ,308,385119.62,2015,
1760559819,LE,THANG,UPLAND,CA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,239,507247.94,0, ,0, ,0,0,2015,
1740239227,LAVERY,JOHN,ALLEN,TX,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,19,483,963212.88,0,*,0,*,0,0,2015,
1154516110,MAROZ,NATALLIA,KETTERING,OH,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,308,377716.16,0,*,11, ,308,377716.16,2015,
1861680241,MATTILA,ALLISON,LAS VEGAS,NV,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,15,23,150,962996.46,0,*,0,*,0,0,2015,
1811918568,MARSHALL,JOHN,BATON ROUGE,LA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,17,289,603713.82,0, ,0, ,0,0,2015,
1699760983,MCDOUGAL,GRANT,INDIANAPOLIS,IN,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,14,245,489501.48,0, ,0, ,0,0,2015,
1881823987,MCHUGH,PATRICK,INDIANAPOLIS,IN,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,15,255,519219.9,0,*,15, ,255,519219.9,2015,
1902807845,MICHEL,ELLIOT,NATRONA HEIGHTS,PA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,0,22,114,755792.3,0,*,0,*,0,0,2015,
1205894631,MURPHY,SAIED,ATLANTA,GA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,373,557975.61,0,*,16, ,373,557975.61,2015,
1588715882,NAPOLI,SALVATORE,NORWOOD,MA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,11,18,159,601509.36,0,*,0,*,0,0,2015,
1699836726,NGUYEN,PHONG,RESTON,VA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,15,447,747797.57,0,*,15, ,447,747797.57,2015,
1316029291,NISSIM,JACK,TOWSON,MD,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,0,12,210,494582.06,0, ,0, ,0,0,2015,
1124034400,NIVERA,NOEL,EATONTOWN,NJ,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,308,376970.46,0,*,11, ,308,376970.46,2015,
1881673523,OCHOA,FABIO,WARREN,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,12,340,591099.81,0,*,0,*,0,0,2015,
1699740613,PATEL,DHRUV,ELYRIA,OH,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,18,20,133,688404.13,0,*,0,*,0,0,2015,
1639121239,PAYNE,DAYTON,HICKORY,NC,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,22,632,1758113.93,0, ,0, ,0,0,2015,
1346257045,PHILLIPS,CHRISTINE,HANOVER,PA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,20,394,799421.28,0,#,0,#,0,0,2015,
1124036371,POSADAS,AUGUSTO,TUCSON,AZ,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,16,272,567535.68,0, ,0, ,0,0,2015,
1760473573,PRASHAD,ROY,RIVERHEAD,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,59,1354,2728338.44,0,*,31, ,692,1385833.55,2015,
1679539837,RAM,PANKAJ,FRESNO,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,15,288,506718.03,0,*,15, ,288,506718.03,2015,
1760488449,REARDON,EDWARD,WARWICK,RI,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,34,578,1172162.56,0,#,0,#,0,0,2015,
1730193533,REGULE,DAVID,YOUNGSTOWN,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,24,540,824544.53,0,*,24, ,540,824544.53,2015,
1851374839,RICCIARDI,DANIEL,BROOKLYN,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,11,313,625379.72,0,*,0,*,0,0,2015,
1275528598,SALIFU,MORO,BROOKLYN,NY,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,31,527,1044638.75,0, ,0, ,0,0,2015,
1770637670,SAPERSTEIN,GLENN,SAGINAW,MI,Emergency Medicine,S,H.P. ACTHAR,CORTICOTROPIN,14,20,162,883365.15,0,*,0,*,0,0,2015,
1174786297,SINGH,VIJAY,SEWELL,NJ,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,18,74,1983,3699868.62,0,*,13, ,346,785450.2,2015,
1326068560,SONG,MARK,LOS ANGELES,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,0,12,295,618842.21,0,*,12, ,295,618842.21,2015,
1659332054,STADNICK,DAVID,MANSFIELD,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,0,12,204,396193.08,0, ,0, ,0,0,2015,
