taxonomy_code,taxonomy_description,classification,specialization
"202C00000X","Allopathic & Osteopathic Physicians","Independent Medical Examiner",""
"202K00000X","Allopathic & Osteopathic Physicians","Phlebology",""
"204C00000X","Allopathic & Osteopathic Physicians","Neuromusculoskeletal Medicine, Sports Medicine",""
"204D00000X","Allopathic & Osteopathic Physicians","Neuromusculoskeletal Medicine & OMM",""
"204E00000X","Allopathic & Osteopathic Physicians","Oral & Maxillofacial Surgery",""
"204F00000X","Allopathic & Osteopathic Physicians","Transplant Surgery",""
"204R00000X","Allopathic & Osteopathic Physicians","Electrodiagnostic Medicine",""
"207K00000X","Allopathic & Osteopathic Physicians","Allergy & Immunology",""
"207KA0200X","Allopathic & Osteopathic Physicians","Allergy & Immunology","Allergy"
"207KI0005X","Allopathic & Osteopathic Physicians","Allergy & Immunology","Clinical & Laboratory Immunology"
"207L00000X","Allopathic & Osteopathic Physicians","Anesthesiology",""
"207LA0401X","Allopathic & Osteopathic Physicians","Anesthesiology","Addiction Medicine"
"207LC0200X","Allopathic & Osteopathic Physicians","Anesthesiology","Critical Care Medicine"
"207LH0002X","Allopathic & Osteopathic Physicians","Anesthesiology","Hospice and Palliative Medicine"
"207LP2900X","Allopathic & Osteopathic Physicians","Anesthesiology","Pain Medicine"
"207LP3000X","Allopathic & Osteopathic Physicians","Anesthesiology","Pediatric Anesthesiology"
"207N00000X","Allopathic & Osteopathic Physicians","Dermatology",""
"207ND0101X","Allopathic & Osteopathic Physicians","Dermatology","MOHS-Micrographic Surgery"
"207ND0900X","Allopathic & Osteopathic Physicians","Dermatology","Dermatopathology"
"207NI0002X","Allopathic & Osteopathic Physicians","Dermatology","Clinical & Laboratory Dermatological Immunology"
"207NP0225X","Allopathic & Osteopathic Physicians","Dermatology","Pediatric Dermatology"
"207NS0135X","Allopathic & Osteopathic Physicians","Dermatology","Procedural Dermatology"
"207P00000X","Allopathic & Osteopathic Physicians","Emergency Medicine",""
"207PE0004X","Allopathic & Osteopathic Physicians","Emergency Medicine","Emergency Medical Services"
"207PE0005X","Allopathic & Osteopathic Physicians","Emergency Medicine","Undersea and Hyperbaric Medicine"
"207PH0002X","Allopathic & Osteopathic Physicians","Emergency Medicine","Hospice and Palliative Medicine"
"207PP0204X","Allopathic & Osteopathic Physicians","Emergency Medicine","Pediatric Emergency Medicine"
"207PS0010X","Allopathic & Osteopathic Physicians","Emergency Medicine","Sports Medicine"
"207PT0002X","Allopathic & Osteopathic Physicians","Emergency Medicine","Medical Toxicology"
"207Q00000X","Allopathic & Osteopathic Physicians","Family Medicine",""
"207QA0000X","Allopathic & Osteopathic Physicians","Family Medicine","Adolescent Medicine"
"207QA0401X","Allopathic & Osteopathic Physicians","Family Medicine","Addiction Medicine"
"207QA0505X","Allopathic & Osteopathic Physicians","Family Medicine","Adult Medicine"
"207QB0002X","Allopathic & Osteopathic Physicians","Family Medicine","Obesity Medicine"
"207QG0300X","Allopathic & Osteopathic Physicians","Family Medicine","Geriatric Medicine"
"207QH0002X","Allopathic & Osteopathic Physicians","Family Medicine","Hospice and Palliative Medicine"
"207QS0010X","Allopathic & Osteopathic Physicians","Family Medicine","Sports Medicine"
"207QS1201X","Allopathic & Osteopathic Physicians","Family Medicine","Sleep Medicine"
"207R00000X","Allopathic & Osteopathic Physicians","Internal Medicine",""
"207RA0000X","Allopathic & Osteopathic Physicians","Internal Medicine","Adolescent Medicine"
"207RA0001X","Allopathic & Osteopathic Physicians","Internal Medicine","Advanced Heart Failure and Transplant Cardiology"
"207RA0201X","Allopathic & Osteopathic Physicians","Internal Medicine","Allergy & Immunology"
"207RA0401X","Allopathic & Osteopathic Physicians","Internal Medicine","Addiction Medicine"
"207RB0002X","Allopathic & Osteopathic Physicians","Internal Medicine","Obesity Medicine"
"207RC0000X","Allopathic & Osteopathic Physicians","Internal Medicine","Cardiovascular Disease"
"207RC0001X","Allopathic & Osteopathic Physicians","Internal Medicine","Clinical Cardiac Electrophysiology"
"207RC0200X","Allopathic & Osteopathic Physicians","Internal Medicine","Critical Care Medicine"
"207RE0101X","Allopathic & Osteopathic Physicians","Internal Medicine","Endocrinology, Diabetes & Metabolism"
"207RG0100X","Allopathic & Osteopathic Physicians","Internal Medicine","Gastroenterology"
"207RG0300X","Allopathic & Osteopathic Physicians","Internal Medicine","Geriatric Medicine"
"207RH0000X","Allopathic & Osteopathic Physicians","Internal Medicine","Hematology"
"207RH0002X","Allopathic & Osteopathic Physicians","Internal Medicine","Hospice and Palliative Medicine"
"207RH0003X","Allopathic & Osteopathic Physicians","Internal Medicine","Hematology & Oncology"
"207RH0005X","Allopathic & Osteopathic Physicians","Internal Medicine","Hypertension Specialist"
"207RI0001X","Allopathic & Osteopathic Physicians","Internal Medicine","Clinical & Laboratory Immunology"
"207RI0008X","Allopathic & Osteopathic Physicians","Internal Medicine","Hepatology"
"207RI0011X","Allopathic & Osteopathic Physicians","Internal Medicine","Interventional Cardiology"
"207RI0200X","Allopathic & Osteopathic Physicians","Internal Medicine","Infectious Disease"
"207RM1200X","Allopathic & Osteopathic Physicians","Internal Medicine","Magnetic Resonance Imaging (MRI)"
"207RN0300X","Allopathic & Osteopathic Physicians","Internal Medicine","Nephrology"
"207RP1001X","Allopathic & Osteopathic Physicians","Internal Medicine","Pulmonary Disease"
"207RR0500X","Allopathic & Osteopathic Physicians","Internal Medicine","Rheumatology"
"207RS0010X","Allopathic & Osteopathic Physicians","Internal Medicine","Sports Medicine"
"207RS0012X","Allopathic & Osteopathic Physicians","Internal Medicine","Sleep Medicine"
"207RT0003X","Allopathic & Osteopathic Physicians","Internal Medicine","Transplant Hepatology"
"207RX0202X","Allopathic & Osteopathic Physicians","Internal Medicine","Medical Oncology"
"207SC0300X","Allopathic & Osteopathic Physicians","Medical Genetics","Clinical Cytogenetic"
"207SG0201X","Allopathic & Osteopathic Physicians","Medical Genetics","Clinical Genetics (M.D.)"
"207SG0202X","Allopathic & Osteopathic Physicians","Medical Genetics","Clinical Biochemical Genetics"
"207SG0203X","Allopathic & Osteopathic Physicians","Medical Genetics","Clinical Molecular Genetics"
"207SG0205X","Allopathic & Osteopathic Physicians","Medical Genetics","Ph.D. Medical Genetics"
"207SM0001X","Allopathic & Osteopathic Physicians","Medical Genetics","Molecular Genetic Pathology"
"207T00000X","Allopathic & Osteopathic Physicians","Neurological Surgery",""
"207U00000X","Allopathic & Osteopathic Physicians","Nuclear Medicine",""
"207UN0901X","Allopathic & Osteopathic Physicians","Nuclear Medicine","Nuclear Cardiology"
"207UN0902X","Allopathic & Osteopathic Physicians","Nuclear Medicine","Nuclear Imaging & Therapy"
"207UN0903X","Allopathic & Osteopathic Physicians","Nuclear Medicine","In Vivo & In Vitro Nuclear Medicine"
"207V00000X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology",""
"207VB0002X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Obesity Medicine"
"207VC0200X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Critical Care Medicine"
"207VE0102X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Reproductive Endocrinology"
"207VF0040X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Female Pelvic Medicine and Reconstructive Surgery"
"207VG0400X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Gynecology"
"207VH0002X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Flospice and Palliative Medicine"
"207VM0101X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Maternal & Fetal Medicine"
"207VX0000X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Obstetrics"
"207VX0201X","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Gynecologic Oncology"
"207W00000X","Allopathic & Osteopathic Physicians","Ophthalmology",""
"207X00000X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery",""
"207XP3100X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Pediatric Orthopaedic Surgery"
"207XS0106X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Fland Surgery"
"207XS0114X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Adult Reconstructive Orthopaedic Surgery"
"207XS0117X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Orthopaedic Surgery of the Spine"
"207XX0004X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Foot and Ankle Surgery"
"207XX0005X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Sports Medicine"
"207XX0801X","Allopathic & Osteopathic Physicians","Orthopaedic Surgery","Orthopaedic Trauma"
"207Y00000X","Allopathic & Osteopathic Physicians","Otolaryngology",""
"207YP0228X","Allopathic & Osteopathic Physicians","Otolaryngology","Pediatric Otolaryngology"
"207YS0012X","Allopathic & Osteopathic Physicians","Otolaryngology","Sleep Medicine"
"207YS0123X","Allopathic & Osteopathic Physicians","Otolaryngology","Facial Plastic Surgery"
"207YX0007X","Allopathic & Osteopathic Physicians","Otolaryngology","Plastic Surgery within the Head & Neck"
"207YX0602X","Allopathic & Osteopathic Physicians","Otolaryngology","Otolaryngic Allergy"
"207YX0901X","Allopathic & Osteopathic Physicians","Otolaryngology","Otology & Neurotology"
"207YX0905X","Allopathic & Osteopathic Physicians","Otolaryngology","Otolaryngology/Facial Plastic Surgery"
"207ZB0001X","Allopathic & Osteopathic Physicians","Pathology","Blood Banking & Transfusion Medicine"
"207ZC0006X","Allopathic & Osteopathic Physicians","Pathology","Clinical Pathology"
"207ZC0008X","Allopathic & Osteopathic Physicians","Pathology","Clinical Informatics"
"207ZC0500X","Allopathic & Osteopathic Physicians","Pathology","Cytopathology"
"207ZD0900X","Allopathic & Osteopathic Physicians","Pathology","Dermatopathology"
"207ZF0201X","Allopathic & Osteopathic Physicians","Pathology","Forensic Pathology"
"207ZH0000X","Allopathic & Osteopathic Physicians","Pathology","Hematology"
"207ZI0100X","Allopathic & Osteopathic Physicians","Pathology","Immunopathology"
"207ZM0300X","Allopathic & Osteopathic Physicians","Pathology","Medical Microbiology"
"207ZN0500X","Allopathic & Osteopathic Physicians","Pathology","Neuropathology"
"207ZP0007X","Allopathic & Osteopathic Physicians","Pathology","Molecular Genetic Pathology"
"207ZP0101X","Allopathic & Osteopathic Physicians","Pathology","Anatomic Pathology"
"207ZP0102X","Allopathic & Osteopathic Physicians","Pathology","Anatomic Pathology & Clinical Pathology"
"207ZP0104X","Allopathic & Osteopathic Physicians","Pathology","Chemical Pathology"
"207ZP0105X","Allopathic & Osteopathic Physicians","Pathology","Clinical Pathology/Laboratory Medicine"
"207ZP0213X","Allopathic & Osteopathic Physicians","Pathology","Pediatric Pathology"
"208000000X","Allopathic & Osteopathic Physicians","Pediatrics",""
"2080A0000X","Allopathic & Osteopathic Physicians","Pediatrics","Adolescent Medicine"
"2080B0002X","Allopathic & Osteopathic Physicians","Pediatrics","Obesity Medicine"
"2080C0008X","Allopathic & Osteopathic Physicians","Pediatrics","Child Abuse Pediatrics"
"2080H0002X","Allopathic & Osteopathic Physicians","Pediatrics","Hospice and Palliative Medicine"
"2080I0007X","Allopathic & Osteopathic Physicians","Pediatrics","Clinical & Laboratory Immunology"
"2080N0001X","Allopathic & Osteopathic Physicians","Pediatrics","Neonatal-Perinatal Medicine"
"2080P0006X","Allopathic & Osteopathic Physicians","Pediatrics","Developmental a€"" Behavioral Pediatrics"
"2080P0008X","Allopathic & Osteopathic Physicians","Pediatrics","Neurodevelopmental Disabilities"
"2080P0201X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Allergy/lmmunology"
"2080P0202X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Cardiology"
"2080P0203X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Critical Care Medicine"
"2080P0204X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Emergency Medicine"
"2080P0205X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Endocrinology"
"2080P0206X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Gastroenterology"
"2080P0207X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Hematology-Oncology"
"2080P0208X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Infectious Diseases"
"2080P0210X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Nephrology"
"2080P0214X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Pulmonology"
"2080P0216X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Rheumatology"
"2080S0010X","Allopathic & Osteopathic Physicians","Pediatrics","Sports Medicine"
"2080S0012X","Allopathic & Osteopathic Physicians","Pediatrics","Sleep Medicine"
"2080T0002X","Allopathic & Osteopathic Physicians","Pediatrics","Medical Toxicology"
"2080T0004X","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Transplant Hepatology"
"208100000X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation",""
"2081H0002X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Hospice and Palliative Medicine"
"2081N0008X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Neuromuscular Medicine"
"2081P0004X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Spinal Cord Injury Medicine"
"2081P0010X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Pediatric Rehabilitation Medicine"
"2081P2900X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Pain Medicine"
"2081S0010X","Allopathic & Osteopathic Physicians","Physical Medicine & Rehabilitation","Sports Medicine"
"208200000X","Allopathic & Osteopathic Physicians","Plastic Surgery",""
"2082S0099X","Allopathic & Osteopathic Physicians","Plastic Surgery","Plastic Surgery Within the Head and Neck"
"2082S0105X","Allopathic & Osteopathic Physicians","Plastic Surgery","Surgery of the Hand"
"2083A0100X","Allopathic & Osteopathic Physicians","Preventive Medicine","Aerospace Medicine"
"2083B0002X","Allopathic & Osteopathic Physicians","Preventive Medicine","Obesity Medicine"
"2083C0008X","Allopathic & Osteopathic Physicians","Preventive Medicine","Clinical Informatics"
"2083P0011X","Allopathic & Osteopathic Physicians","Preventive Medicine","Undersea and Hyperbaric Medicine"
"2083P0500X","Allopathic & Osteopathic Physicians","Preventive Medicine","Preventive Medicine/Occupational Environmental Medicine"
"2083P0901X","Allopathic & Osteopathic Physicians","Preventive Medicine","Public Health & General Preventive Medicine"
"2083S0010X","Allopathic & Osteopathic Physicians","Preventive Medicine","Sports Medicine"
"2083T0002X","Allopathic & Osteopathic Physicians","Preventive Medicine","Medical Toxicology"
"2083X0100X","Allopathic & Osteopathic Physicians","Preventive Medicine","Occupational Medicine"
"2084A0401X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Addiction Medicine"
"2084B0002X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Obesity Medicine"
"2084B0040X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Behavioral Neurology & Neuropsychiatry"
"2084D0003X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Diagnostic Neuroimaging"
"2084F0202X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Forensic Psychiatry"
"2084H0002X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Hospice and Palliative Medicine"
"2084N0008X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neuromuscular Medicine"
"2084N0400X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neurology"
"2084N0402X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neurology with Special Qualifications in Child Neurology"
"2084N0600X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Clinical Neurophysiology"
"2084P0005X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neurodevelopmental Disabilities"
"2084P0015X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychosomatic Medicine"
"2084P0800X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"2084P0802X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Addiction Psychiatry"
"2084P0804X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Child & Adolescent Psychiatry"
"2084P0805X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Geriatric Psychiatry"
"2084P2900X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Pain Medicine"
"2084S0010X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Sports Medicine"
"2084S0012X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Sleep Medicine"
"2084V0102X","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Vascular Neurology"
"2085B0100X","Allopathic & Osteopathic Physicians","Radiology","Body Imaging"
"2085D0003X","Allopathic & Osteopathic Physicians","Radiology","Diagnostic Neuroimaging"
"2085H0002X","Allopathic & Osteopathic Physicians","Radiology","Hospice and Palliative Medicine"
"2085N0700X","Allopathic & Osteopathic Physicians","Radiology","Neuroradiology"
"2085N0904X","Allopathic & Osteopathic Physicians","Radiology","Nuclear Radiology"
"2085P0229X","Allopathic & Osteopathic Physicians","Radiology","Pediatric Radiology"
"2085R0001X","Allopathic & Osteopathic Physicians","Radiology","Radiation Oncology"
"2085R0202X","Allopathic & Osteopathic Physicians","Radiology","Diagnostic Radiology"
"2085R0203X","Allopathic & Osteopathic Physicians","Radiology","Therapeutic Radiology"
"2085R0204X","Allopathic & Osteopathic Physicians","Radiology","Vascular & Interventional Radiology"
"2085R0205X","Allopathic & Osteopathic Physicians","Radiology","Radiological Physics"
"2085U0001X","Allopathic & Osteopathic Physicians","Radiology","Diagnostic Ultrasound"
"208600000X","Allopathic & Osteopathic Physicians","Surgery",""
"2086H0002X","Allopathic & Osteopathic Physicians","Surgery","Hospice and Palliative Medicine"
"2086S0102X","Allopathic & Osteopathic Physicians","Surgery","Surgical Critical Care"
"2086S0105X","Allopathic & Osteopathic Physicians","Surgery","Surgery of the Hand"
"2086S0120X","Allopathic & Osteopathic Physicians","Surgery","Pediatric Surgery"
"2086S0122X","Allopathic & Osteopathic Physicians","Surgery","Plastic and Reconstructive Surgery"
"2086S0127X","Allopathic & Osteopathic Physicians","Surgery","Trauma Surgery"
"2086S0129X","Allopathic & Osteopathic Physicians","Surgery","Vascular Surgery"
"2086X0206X","Allopathic & Osteopathic Physicians","Surgery","Surgical Oncology"
"208800000X","Allopathic & Osteopathic Physicians","Urology",""
"2088F0040X","Allopathic & Osteopathic Physicians","Urology","Female Pelvic Medicine and Reconstructive Surgery"
"2088P0231X","Allopathic & Osteopathic Physicians","Urology","Pediatric Urology"
"208C00000X","Allopathic & Osteopathic Physicians","Colon & Rectal Surgery",""
"208D00000X","Allopathic & Osteopathic Physicians","General Practice",""
"208G00000X","Allopathic & Osteopathic Physicians","Thoracic Surgery (Cardiothoracic Vascular Surgery)",""
"208M00000X","Allopathic & Osteopathic Physicians","Hospitalist",""
"208U00000X","Allopathic & Osteopathic Physicians","Clinical Pharmacology",""
"208VP0000X","Allopathic & Osteopathic Physicians","Pain Medicine","Pain Medicine"
"208VP0014X","Allopathic & Osteopathic Physicians","Pain Medicine","Interventional Pain Medicine"
"209800000X","Allopathic & Osteopathic Physicians","Legal Medicine",""
"111N00000X","Chiropractic Providers","Chiropractor",""
"111NI0013X","Chiropractic Providers","Chiropractor","Independent Medical Examiner"
"111NI0900X","Chiropractic Providers","Chiropractor","Internist"
"111NN0400X","Chiropractic Providers","Chiropractor","Neurology"
"111NN1001X","Chiropractic Providers","Chiropractor","Nutrition"
"111NP0017X","Chiropractic Providers","Chiropractor","Pediatric Chiropractor"
"111NR0200X","Chiropractic Providers","Chiropractor","Radiology"
"111NR0400X","Chiropractic Providers","Chiropractor","Rehabilitation"
"111NS0005X","Chiropractic Providers","Chiropractor","Sports Physician"
"111NT0100X","Chiropractic Providers","Chiropractor","Thermography"
"111NX0100X","Chiropractic Providers","Chiropractor","Occupational Health"
"111NX0800X","Chiropractic Providers","Chiropractor","Orthopedic"
"122300000X","Dental Providers","Dentist",""
"1223D0001X","Dental Providers","Dentist","Dental Public Health"
"1223D0004X","Dental Providers","Dentist","Dentist Anesthesiologist"
"1223E0200X","Dental Providers","Dentist","Endodontics"
"1223G0001X","Dental Providers","Dentist","General Practice"
"1223P0106X","Dental Providers","Dentist","Oral and Maxillofacial Pathology"
"1223P0221X","Dental Providers","Dentist","Pediatric Dentistry"
"1223P0300X","Dental Providers","Dentist","Periodontics"
"1223P0700X","Dental Providers","Dentist","Prosthodontics"
"1223S0112X","Dental Providers","Dentist","Oral and Maxillofacial Surgery"
"1223X0008X","Dental Providers","Dentist","Oral and Maxillofacial Radiology"
"1223X0400X","Dental Providers","Dentist","Orthodontics and Dentofacial Orthopedics"
"122400000X","Dental Providers","Denturist",""
"124Q00000X","Dental Providers","Dental Hygienist",""
"125J00000X","Dental Providers","Dental Therapist",""
"125K00000X","Dental Providers","Advanced Practice Dental Therapist",""
"125Q00000X","Dental Providers","Oral Medicinist",""
"126800000X","Dental Providers","Dental Assistant",""
"126900000X","Dental Providers","Dental Laboratory Technician",""
"152W00000X","Eye and Vision Services Providers","Optometrist",""
"152WC0802X","Eye and Vision Services Providers","Optometrist","Corneal and Contact Management"
"152WL0500X","Eye and Vision Services Providers","Optometrist","Low Vision Rehabilitation"
"152WP0200X","Eye and Vision Services Providers","Optometrist","Pediatrics"
"152WS0006X","Eye and Vision Services Providers","Optometrist","Sports Vision"
"152WV0400X","Eye and Vision Services Providers","Optometrist","Vision Therapy"
"152WX0102X","Eye and Vision Services Providers","Optometrist","Occupational Vision"
"156F00000X","Eye and Vision Services Providers","Technician/Technologist",""
"156FC0800X","Eye and Vision Services Providers","Technician/Technologist","Contact Lens"
"156FC0801X","Eye and Vision Services Providers","Technician/Technologist","Contact Lens Fitter"
"156FX1100X","Eye and Vision Services Providers","Technician/Technologist","Ophthalmic"
"156FX1101X","Eye and Vision Services Providers","Technician/Technologist","Ophthalmic Assistant"
"156FX1201X","Eye and Vision Services Providers","Technician/Technologist","Optometric Assistant"
"156FX1202X","Eye and Vision Services Providers","Technician/Technologist","Optometric Technician"
"156FX1700X","Eye and Vision Services Providers","Technician/Technologist","Ocularist"
"156FX1800X","Eye and Vision Services Providers","Technician/Technologist","Optician"
"156FX1900X","Eye and Vision Services Providers","Technician/Technologist","Orthoptist"
"211D00000X","Podiatric Medicine & Surgery Service Providers","Assistant, Podiatric",""
"213E00000X","Podiatric Medicine & Surgery Service Providers","Podiatrist",""
"213EG0000X","Podiatric Medicine & Surgery Service Providers","Podiatrist","General Practice"
"213EP0504X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Public Medicine"
"213EP1101X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Primary Podiatric Medicine"
"213ER0200X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Radiology"
"213ES0000X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Sports Medicine"
"213ES0103X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Foot & Ankle Surgery"
"213ES0131X","Podiatric Medicine & Surgery Service Providers","Podiatrist","Foot Surgery"
